Date,VN-INDEX,Change,Total Volume,Total Value,Total Foreigner Buy Volume,Total Foreigner Buy Value,Total Foreigner Sell Volume,Total Foreigner Sell Value
11/21/2019,987.89,-12.67(-1.27%),"215,011,817","5,442.72 bil","22,849,159",775.75 bil,"34,970,414","1,105.69 bil"
11/20/2019,1000.56,-7.79(-0.77%),"210,309,868","4,562.63 bil","14,749,440",618.78 bil,"13,610,680",632.60 bil
11/19/2019,1008.35,+5.44(+0.54%),"232,356,619","4,796.06 bil","29,867,158",773.77 bil,"28,859,128",800.79 bil
11/18/2019,1002.91,-7.12(-0.70%),"184,310,829","4,198.70 bil","9,601,490",315.24 bil,"10,541,910",421.10 bil
11/15/2019,1010.03,-2.27(-0.22%),"212,329,658","5,150.74 bil","14,310,560","1,487.75 bil","16,580,850","1,668.92 bil"
11/14/2019,1012.3,-0.47(-0.05%),"209,404,256","4,503.15 bil","12,144,840",320.75 bil,"9,358,170",280.37 bil
11/13/2019,1012.77,-5.56(-0.55%),"286,967,681","6,748.75 bil","50,051,115","1,563.34 bil","75,002,375","2,301.24 bil"
11/12/2019,1018.33,+1.58(+0.16%),"223,157,118","4,569.94 bil","15,018,240",432.10 bil,"16,825,320",582.87 bil
11/11/2019,1016.75,-5.74(-0.56%),"210,430,901","4,621.35 bil","16,015,450",455.74 bil,"14,249,510",445.89 bil
11/8/2019,1022.49,-1.54(-0.15%),"181,366,818","4,149.11 bil","14,512,380",480.44 bil,"12,635,640",473.94 bil
11/7/2019,1024.03,-0.88(-0.09%),"193,394,230","4,233.75 bil","19,379,030",646.43 bil,"13,557,380",512.97 bil
11/6/2019,1024.91,+0.57(+0.06%),"225,000,552","4,706.24 bil","17,865,980",588.46 bil,"15,706,140",678.19 bil
11/5/2019,1024.34,+1.91(+0.19%),"199,371,766","4,565.57 bil","18,957,632",783.46 bil,"16,570,352",753.83 bil
11/4/2019,1022.43,+6.84(+0.67%),"232,788,487","5,180.34 bil","14,385,380",615.53 bil,"15,174,050",555.65 bil
11/1/2019,1015.59,+16.77(+1.68%),"241,335,507","5,183.20 bil","20,561,390",882.72 bil,"16,830,940",628.88 bil
10/31/2019,998.82,-2.07(-0.21%),"218,981,651","4,271.67 bil","18,173,000",780.83 bil,"19,586,550",888.28 bil
10/30/2019,1000.89,+5.02(+0.50%),"181,192,547","3,686.96 bil","12,024,960",410.74 bil,"11,222,900",457.57 bil
10/29/2019,995.87,-0.61(-0.06%),"249,477,530","4,127.16 bil","9,724,640",382.26 bil,"12,313,570",461.94 bil
10/28/2019,996.48,-0.09(-0.01%),"183,756,571","3,750.04 bil","9,720,420",307.15 bil,"9,225,680",291.95 bil
10/25/2019,996.57,+2.97(+0.30%),"173,486,528","3,723.41 bil","12,561,564",412.74 bil,"13,498,744",429.08 bil
10/24/2019,993.6,+5.81(+0.59%),"160,032,080","3,663.53 bil","9,874,910",375.61 bil,"16,463,600",460.83 bil
10/23/2019,987.79,+0.60(+0.06%),"179,021,348","3,496.70 bil","14,795,804",492.51 bil,"16,901,484",501.42 bil
10/22/2019,987.19,+3.63(+0.37%),"231,647,637","3,957.13 bil","12,914,000",471.11 bil,"12,846,700",449.03 bil
10/21/2019,983.56,-5.64(-0.57%),"200,325,507","4,140.07 bil","10,284,360",384.04 bil,"11,801,060",422.18 bil
10/18/2019,989.2,-0.62(-0.06%),"174,424,315","3,540.39 bil","11,142,320",358.98 bil,"10,527,000",318.12 bil
10/17/2019,989.82,-4.64(-0.47%),"191,550,366","4,036.15 bil","12,967,502",429.86 bil,"11,729,702",411.24 bil
10/16/2019,994.46,+1.41(+0.14%),"188,131,369","3,627.45 bil","12,127,220",458.40 bil,"14,167,340",529.37 bil
10/15/2019,993.05,-0.52(-0.05%),"179,970,114","4,015.18 bil","12,026,770",483.15 bil,"17,308,740",642.28 bil
10/14/2019,993.57,+1.73(+0.17%),"193,975,692","4,324.78 bil","10,447,090",356.60 bil,"10,908,500",330.68 bil
10/11/2019,991.84,+4.46(+0.45%),"168,611,835","3,903.35 bil","12,459,660",550.70 bil,"16,379,350",620.43 bil
10/10/2019,987.38,-0.45(-0.05%),"182,977,754","4,230.86 bil","10,220,078",360.89 bil,"13,223,468",442.19 bil
10/9/2019,987.83,-0.39(-0.04%),"182,539,423","4,107.94 bil","8,167,027",265.19 bil,"9,307,407",278.80 bil
10/8/2019,988.22,+5.13(+0.52%),"178,375,371","3,561.00 bil","8,989,970",257.26 bil,"9,559,860",268.28 bil
10/7/2019,983.09,-4.50(-0.46%),"181,618,007","4,050.38 bil","8,357,260",305.19 bil,"12,075,150",350.97 bil
10/4/2019,987.59,-4.86(-0.49%),"205,009,000","4,435.33 bil","7,705,870",256.67 bil,"17,719,922",522.21 bil
10/3/2019,992.45,+1.26(+0.13%),"193,597,117","4,802.01 bil","9,294,650",323.51 bil,"26,460,964",525.60 bil
10/2/2019,991.19,-8.40(-0.84%),"178,783,975","4,244.82 bil","18,086,921",526.15 bil,"28,594,645",871.89 bil
10/1/2019,999.59,+3.03(+0.30%),"210,254,423","4,732.51 bil","13,402,260",376.98 bil,"20,514,830",516.83 bil
9/30/2019,996.56,-1.28(-0.13%),"176,215,055","3,853.87 bil","11,622,786",356.08 bil,"14,261,796",431.97 bil
9/27/2019,997.84,+7.09(+0.72%),"180,737,057","4,247.69 bil","16,840,533",628.20 bil,"24,015,753",674.94 bil
9/26/2019,990.75,+3.45(+0.35%),"152,560,016","3,516.24 bil","8,164,411",302.91 bil,"13,975,961",409.81 bil
9/25/2019,987.3,-0.83(-0.08%),"171,566,161","3,628.53 bil","5,585,300",184.49 bil,"9,713,580",257.98 bil
9/24/2019,988.13,+2.38(+0.24%),"165,040,016","4,080.79 bil","7,343,490",361.94 bil,"8,899,040",377.70 bil
9/23/2019,985.75,-4.61(-0.47%),"207,504,798","5,287.73 bil","14,901,076",807.97 bil,"17,097,806",802.71 bil
9/20/2019,990.36,-6.74(-0.68%),"203,600,240","5,641.55 bil","22,630,040","1,448.25 bil","40,378,890","1,814.91 bil"
9/19/2019,997.1,+1.95(+0.20%),"186,921,508","3,902.08 bil","18,292,687",540.67 bil,"18,848,647",544.33 bil
9/18/2019,995.15,-1.59(-0.16%),"191,036,390","4,624.93 bil","24,000,096",964.18 bil,"24,388,346",912.01 bil
9/17/2019,996.74,+6.88(+0.70%),"231,436,058","4,481.93 bil","17,504,075",783.54 bil,"40,217,815",969.03 bil
9/16/2019,989.86,+2.64(+0.27%),"187,151,712","4,485.22 bil","10,486,520",526.43 bil,"13,135,510",567.60 bil
9/13/2019,987.22,+11.15(+1.14%),"189,231,330","4,478.34 bil","10,623,300",378.78 bil,"11,422,784",412.19 bil
9/12/2019,976.07,+6.76(+0.70%),"141,321,199","3,267.56 bil","7,910,280",228.97 bil,"9,142,760",281.06 bil
9/11/2019,969.31,-0.95(-0.10%),"154,513,898","3,764.91 bil","8,708,245",305.62 bil,"8,655,644",307.58 bil
9/10/2019,970.26,-3.86(-0.40%),"161,444,710","3,917.29 bil","10,886,690",433.63 bil,"12,327,760",375.84 bil
9/9/2019,974.12,+0.04(+0.00%),"155,334,471","3,800.90 bil","7,742,780",565.94 bil,"5,688,950",204.96 bil
9/6/2019,974.08,-2.71(-0.28%),"161,159,116","3,808.19 bil","11,508,153",545.18 bil,"7,713,354",240.71 bil
9/5/2019,976.79,-0.84(-0.09%),"159,540,011","3,136.98 bil","6,243,447",292.39 bil,"10,562,897",408.58 bil
9/4/2019,977.63,-1.73(-0.18%),"157,392,889","3,801.83 bil","12,646,840",477.52 bil,"16,611,590",511.64 bil
9/3/2019,979.36,-4.70(-0.48%),"186,474,608","4,478.97 bil","14,119,611",481.12 bil,"16,152,436",493.65 bil
8/30/2019,984.06,+5.47(+0.56%),"143,163,513","3,217.41 bil","13,509,260",472.21 bil,"14,151,510",440.50 bil
8/29/2019,978.59,+1.33(+0.14%),"138,392,454","3,375.60 bil","8,247,209",365.34 bil,"10,151,529",359.01 bil
8/28/2019,977.26,+0.47(+0.05%),"147,213,987","3,523.95 bil","11,197,181",378.33 bil,"10,095,056",347.29 bil
8/27/2019,976.79,-6.09(-0.62%),"199,812,049","4,664.90 bil","24,477,700",770.37 bil,"25,302,510",846.23 bil
8/26/2019,982.88,-9.57(-0.96%),"189,790,404","4,336.19 bil","5,719,760",241.93 bil,"16,708,694",439.41 bil
8/23/2019,992.45,-4.81(-0.48%),"162,568,195","3,874.86 bil","6,116,338",282.91 bil,"12,703,733",502.84 bil
8/22/2019,997.26,+2.88(+0.29%),"152,998,950","3,807.57 bil","7,709,100",293.32 bil,"11,753,090",380.87 bil
8/21/2019,994.38,+9.71(+0.99%),"201,557,493","5,077.50 bil","17,500,152",670.69 bil,"15,800,309",557.34 bil
8/20/2019,984.67,+3.64(+0.37%),"177,939,733","4,181.33 bil","9,134,769",447.65 bil,"12,208,084",524.29 bil
8/19/2019,981.03,+1.03(+0.11%),"158,090,188","4,257.70 bil","15,113,010","1,197.77 bil","8,795,820",316.58 bil
8/16/2019,980.0,+0.62(+0.06%),"198,006,180","4,905.50 bil","8,757,229",336.64 bil,"20,667,989",564.54 bil
8/15/2019,979.38,+10.47(+1.08%),"182,910,290","4,298.74 bil","5,363,830",192.24 bil,"8,002,570",257.37 bil
8/14/2019,968.91,+2.08(+0.22%),"151,487,620","3,461.33 bil","10,704,210",402.60 bil,"17,626,250",625.37 bil
8/13/2019,966.83,-8.48(-0.87%),"181,502,531","4,273.93 bil","12,343,020",449.73 bil,"20,779,750",752.09 bil
8/12/2019,975.31,+0.97(+0.10%),"174,552,398","3,799.94 bil","12,432,810",497.25 bil,"13,930,680",515.28 bil
8/9/2019,974.34,-0.90(-0.09%),"192,308,389","4,656.39 bil","9,260,648",353.05 bil,"15,136,510",455.25 bil
8/8/2019,975.24,+9.31(+0.96%),"219,237,176","6,068.28 bil","38,217,261","1,606.48 bil","44,713,401","1,727.69 bil"
8/7/2019,965.93,+1.32(+0.14%),"219,152,689","5,232.76 bil","10,887,412",477.73 bil,"21,577,699",697.69 bil
8/6/2019,964.61,-8.54(-0.88%),"210,927,032","5,998.19 bil","16,150,303","1,295.00 bil","24,906,723","1,538.14 bil"
8/5/2019,973.15,-17.95(-1.81%),"195,934,349","5,189.05 bil","9,542,810",425.03 bil,"19,375,130",715.15 bil
8/2/2019,991.1,-6.29(-0.63%),"186,787,994","4,764.26 bil","8,759,610",376.96 bil,"13,530,113",578.56 bil
8/1/2019,997.39,+5.73(+0.58%),"222,655,794","2,892.64 bil","8,825,810",368.84 bil,"13,735,074",468.27 bil
7/31/2019,991.66,+5.64(+0.57%),"172,875,572","2,705.22 bil","22,565,574","1,632.16 bil","20,644,444","1,624.68 bil"
7/30/2019,986.02,-11.92(-1.19%),"154,322,082","3,013.77 bil","7,868,320",335.05 bil,"12,182,803",512.43 bil
7/29/2019,997.94,+4.59(+0.46%),"147,824,940","2,749.32 bil","9,499,962",381.17 bil,"11,563,460",371.21 bil
7/26/2019,993.35,-1.60(-0.16%),"152,405,215","2,687.78 bil","8,823,570",340.47 bil,"8,747,860",272.87 bil
7/25/2019,994.95,+6.54(+0.66%),"171,789,317","3,244.04 bil","12,731,863",543.46 bil,"17,035,507",503.84 bil
7/24/2019,988.41,-1.05(-0.11%),"169,642,412","3,040.70 bil","10,107,320",556.92 bil,"12,447,845",369.92 bil
7/23/2019,989.46,+7.42(+0.76%),"184,831,147","3,089.53 bil","18,152,913",969.27 bil,"21,399,493",924.86 bil
7/22/2019,982.04,-0.30(-0.03%),"164,371,830","3,019.42 bil","13,964,565",505.24 bil,"11,400,840",348.44 bil
7/19/2019,982.34,+6.29(+0.64%),"170,265,297","3,618.94 bil","15,794,263",693.66 bil,"16,552,380",547.00 bil
7/18/2019,976.05,-6.52(-0.66%),"139,846,186","2,804.41 bil","10,516,663",557.21 bil,"11,673,273",472.87 bil
7/17/2019,982.57,+0.46(+0.05%),"170,018,762","3,363.38 bil","10,919,400",521.64 bil,"9,721,900",309.19 bil
7/16/2019,982.11,+9.58(+0.99%),"174,668,213","3,330.54 bil","18,585,390",941.23 bil,"10,878,887",485.00 bil
7/15/2019,972.53,-2.87(-0.29%),"150,551,123","2,676.99 bil","5,667,660",238.72 bil,"7,616,140",239.51 bil
7/12/2019,975.4,-3.23(-0.33%),"157,305,753","2,969.09 bil","13,232,810",591.83 bil,"5,983,520",260.10 bil
7/11/2019,978.63,+4.98(+0.51%),"161,663,227","2,702.35 bil","14,455,246",503.13 bil,"12,928,836",388.41 bil
7/10/2019,973.65,+4.60(+0.47%),"154,564,111","2,795.81 bil","14,699,308",608.63 bil,"10,744,368",416.01 bil
7/9/2019,969.05,+2.70(+0.28%),"169,482,118","2,722.36 bil","24,643,202","1,477.81 bil","22,820,494","1,350.18 bil"
7/8/2019,966.35,-8.99(-0.92%),"165,879,438","2,684.23 bil","16,671,930",601.90 bil,"11,771,540",409.62 bil
7/5/2019,975.34,+2.30(+0.24%),"137,917,326","2,711.88 bil","11,698,108",506.76 bil,"9,559,158",416.56 bil
7/4/2019,973.04,+12.65(+1.32%),"189,897,829","3,020.20 bil","14,893,376",473.52 bil,"11,426,756",356.52 bil
7/3/2019,960.39,-1.59(-0.17%),"136,594,431","2,543.78 bil","11,057,150",487.79 bil,"14,303,467",498.66 bil
7/2/2019,961.98,-3.63(-0.38%),"138,217,098","2,449.11 bil","13,244,686",590.32 bil,"20,901,656",626.62 bil
7/1/2019,965.61,+15.67(+1.65%),"166,445,420","2,807.34 bil","7,715,890",439.70 bil,"12,881,622",549.90 bil
6/28/2019,949.94,+6.83(+0.72%),"182,625,355","2,702.96 bil","17,362,827",806.67 bil,"14,388,387",631.60 bil
6/27/2019,943.11,-16.02(-1.67%),"159,030,321","2,627.37 bil","11,066,120",468.23 bil,"10,898,710",451.61 bil
6/26/2019,959.13,-1.00(-0.10%),"252,317,209","5,571.69 bil","13,618,760",603.33 bil,"9,976,190",444.28 bil
6/25/2019,960.13,-2.72(-0.28%),"164,347,956","2,510.11 bil","13,866,849",558.51 bil,"15,586,869",616.08 bil
6/24/2019,962.85,+3.65(+0.38%),"150,298,672","2,542.90 bil","11,053,600",418.31 bil,"16,740,510",511.25 bil
6/21/2019,959.2,+0.02(+0.00%),"206,137,401","4,025.00 bil","57,912,015","1,667.91 bil","78,138,585","2,019.11 bil"
6/20/2019,959.18,+9.49(+1.00%),"185,490,163","3,017.30 bil","18,107,000",581.22 bil,"15,899,540",591.67 bil
6/19/2019,949.69,+5.68(+0.60%),"147,358,054","2,302.54 bil","19,723,700",771.05 bil,"17,006,470",738.79 bil
6/18/2019,944.01,-2.94(-0.31%),"166,941,576","2,478.44 bil","20,849,900",705.33 bil,"19,685,070",688.85 bil
6/17/2019,946.95,-6.66(-0.70%),"174,370,028","2,232.44 bil","15,788,737",723.75 bil,"13,861,727",620.19 bil
6/14/2019,953.61,+3.53(+0.37%),"155,879,414","2,296.38 bil","10,295,540",511.88 bil,"15,546,940",574.36 bil
6/13/2019,950.08,-4.09(-0.43%),"142,809,278","2,233.33 bil","6,849,740",379.85 bil,"9,047,600",458.89 bil
6/12/2019,954.17,-7.90(-0.82%),"138,109,792","2,275.94 bil","9,608,786",371.08 bil,"8,861,586",399.23 bil
6/11/2019,962.07,-0.83(-0.09%),"136,379,184","2,199.53 bil","22,568,900",713.41 bil,"9,719,333",450.60 bil
6/10/2019,962.9,+4.62(+0.48%),"154,897,649","2,758.13 bil","21,617,073",586.91 bil,"12,657,016",412.40 bil
6/7/2019,958.28,+10.07(+1.06%),"148,035,457","2,300.17 bil","18,538,782",556.16 bil,"12,023,692",540.98 bil
6/6/2019,948.21,-3.20(-0.34%),"125,898,646","2,207.40 bil","15,169,677",663.25 bil,"13,268,499",715.27 bil
6/5/2019,951.41,+0.25(+0.03%),"131,580,929","1,950.70 bil","17,656,367",302.64 bil,"6,483,520",225.39 bil
6/4/2019,951.16,+4.69(+0.50%),"162,399,806","2,093.63 bil","20,550,869",542.25 bil,"12,634,409",350.30 bil
6/3/2019,946.47,-13.41(-1.40%),"184,656,555","3,166.27 bil","13,980,660",697.48 bil,"18,084,922",704.75 bil
5/31/2019,959.88,-9.46(-0.98%),"136,533,300","2,682.19 bil","11,986,682",533.35 bil,"6,152,232",329.65 bil
5/30/2019,969.34,-2.20(-0.23%),"159,992,984","2,322.52 bil","21,561,689",724.54 bil,"25,032,259","1,413.88 bil"
5/29/2019,971.54,-0.46(-0.05%),"145,310,081","2,692.08 bil","12,464,193",585.82 bil,"9,503,593",448.49 bil
5/28/2019,972.0,-3.14(-0.32%),"148,990,818","2,772.74 bil","19,236,750",800.98 bil,"17,880,877",773.98 bil
5/27/2019,975.14,+5.11(+0.53%),"138,466,161","2,175.74 bil","9,628,910",596.35 bil,"9,081,250",529.54 bil
5/24/2019,970.03,-12.68(-1.29%),"168,342,667","3,177.94 bil","13,710,916",508.87 bil,"20,495,286",794.27 bil
5/23/2019,982.71,-1.07(-0.11%),"160,088,537","2,484.89 bil","39,688,896","1,446.84 bil","44,425,236","1,553.92 bil"
5/22/2019,983.78,-2.51(-0.25%),"174,957,249","2,884.07 bil","17,355,050",644.84 bil,"16,256,460",668.73 bil
5/21/2019,986.29,-0.84(-0.09%),"206,555,753","9,584.71 bil","63,193,633","6,308.16 bil","16,621,425",712.66 bil
5/20/2019,987.13,+10.65(+1.09%),"153,160,381","3,058.77 bil","8,799,370",468.12 bil,"10,603,820",498.07 bil
5/17/2019,976.48,+0.79(+0.08%),"135,086,288","2,716.43 bil","13,162,490",496.13 bil,"12,042,990",486.26 bil
5/16/2019,975.69,+0.05(+0.01%),"170,217,007","2,827.20 bil","14,056,218",562.43 bil,"18,440,870",692.96 bil
5/15/2019,975.64,+10.30(+1.07%),"188,852,552","3,429.92 bil","9,482,840",382.35 bil,"16,071,780",580.74 bil
5/14/2019,965.34,+6.80(+0.71%),"158,178,130","2,911.51 bil","10,184,600",509.88 bil,"17,938,170",722.25 bil
5/13/2019,958.54,+5.99(+0.63%),"232,040,196","2,611.52 bil","17,303,330",636.14 bil,"20,866,800",753.01 bil
5/10/2019,952.55,+5.54(+0.58%),"131,033,332","2,502.60 bil","7,940,000",335.89 bil,"14,103,543",555.29 bil
5/9/2019,947.01,-4.21(-0.44%),"181,397,532","6,227.59 bil","57,594,752","3,809.53 bil","59,858,872","3,905.51 bil"
5/8/2019,951.22,-6.34(-0.66%),"143,297,841","2,431.84 bil","12,974,180",555.65 bil,"16,881,230",644.05 bil
5/7/2019,957.56,-0.41(-0.04%),"145,340,252","2,319.21 bil","16,531,640",729.12 bil,"20,425,740",884.26 bil
5/6/2019,957.97,-16.17(-1.66%),"155,652,352","2,779.30 bil","7,199,890",342.01 bil,"5,579,440",264.04 bil
5/3/2019,974.14,-4.36(-0.45%),"148,565,859","2,734.97 bil","10,140,640",458.57 bil,"9,128,880",401.42 bil
5/2/2019,978.5,-1.14(-0.12%),"152,161,692","2,555.14 bil","14,123,572",586.43 bil,"15,346,982",540.91 bil
4/26/2019,979.64,+5.51(+0.57%),"118,539,754","2,388.24 bil","6,527,232",351.01 bil,"6,355,132",329.39 bil
4/25/2019,974.13,-2.79(-0.29%),"149,114,784","2,124.56 bil","15,473,990",503.95 bil,"16,930,800",514.66 bil
4/24/2019,976.92,+8.92(+0.92%),"134,071,764","2,491.02 bil","12,810,580",492.72 bil,"9,083,390",306.81 bil
4/23/2019,968.0,+2.14(+0.22%),"154,887,616","2,447.55 bil","11,804,810",812.09 bil,"18,416,780","1,024.13 bil"
4/22/2019,965.86,-0.35(-0.04%),"216,344,286","2,470.19 bil","7,084,310",362.93 bil,"6,141,210",285.51 bil
4/19/2019,966.21,+3.91(+0.41%),"106,976,093","1,851.99 bil","3,406,600",121.09 bil,"4,546,860",148.12 bil
4/18/2019,962.3,-9.80(-1.01%),"160,385,083","2,765.70 bil","8,289,850",396.40 bil,"5,906,830",224.00 bil
4/17/2019,972.1,-5.07(-0.52%),"186,723,702","3,032.96 bil","16,791,478",856.59 bil,"14,028,758",695.07 bil
4/16/2019,977.17,-5.73(-0.58%),"150,022,285","3,259.68 bil","13,791,680",588.54 bil,"9,730,200",396.02 bil
4/12/2019,982.9,-3.05(-0.31%),"153,833,982","3,225.82 bil","7,497,110",343.20 bil,"8,789,434",309.14 bil
4/11/2019,985.95,+4.04(+0.41%),"129,478,607","2,614.36 bil","5,328,910",299.41 bil,"7,679,440",361.85 bil
4/10/2019,981.91,-6.57(-0.66%),"159,912,943","3,492.14 bil","8,171,130",395.25 bil,"8,058,190",313.10 bil
4/9/2019,988.48,-9.08(-0.91%),"165,183,690","4,243.13 bil","9,302,460",558.09 bil,"15,710,080",835.49 bil
4/8/2019,997.56,+8.30(+0.84%),"163,686,969","3,429.20 bil","11,002,662",516.39 bil,"8,437,382",371.90 bil
4/5/2019,989.26,+2.35(+0.24%),"189,284,916","3,885.05 bil","10,047,886",465.88 bil,"13,346,426",518.51 bil
4/4/2019,986.91,+2.45(+0.25%),"165,304,651","3,317.61 bil","10,638,760",362.49 bil,"11,288,180",392.02 bil
4/3/2019,984.46,-1.35(-0.14%),"216,942,376","4,362.80 bil","14,772,630",444.75 bil,"13,802,070",508.82 bil
4/2/2019,985.81,-2.72(-0.28%),"236,019,331","4,934.41 bil","16,834,680",797.37 bil,"13,270,950",537.39 bil
4/1/2019,988.53,+7.77(+0.79%),"188,617,709","4,300.89 bil","10,561,000",481.67 bil,"11,023,010",409.89 bil
3/29/2019,980.76,-2.22(-0.23%),"173,909,362","3,870.38 bil","32,773,853","1,140.89 bil","26,472,403","1,003.02 bil"
3/28/2019,982.98,+7.07(+0.72%),"217,066,587","4,094.16 bil","20,895,730",828.50 bil,"16,987,750",676.79 bil
3/27/2019,975.91,+6.12(+0.63%),"159,937,977","3,612.53 bil","17,733,052",630.16 bil,"12,795,455",521.00 bil
3/26/2019,969.79,-0.28(-0.03%),"175,420,353","3,730.48 bil","15,102,415",594.02 bil,"18,790,170",719.23 bil
3/25/2019,970.07,-18.64(-1.89%),"245,780,643","5,042.50 bil","22,584,178",822.65 bil,"14,487,418",625.49 bil
3/22/2019,988.71,+6.93(+0.71%),"206,928,848","4,731.96 bil","42,083,250","1,267.02 bil","31,484,550","1,004.17 bil"
3/21/2019,981.78,-20.52(-2.05%),"200,032,149","4,262.65 bil","14,929,320",646.36 bil,"11,167,340",504.90 bil
3/20/2019,1002.3,-4.29(-0.43%),"300,086,542","8,039.11 bil","88,531,682","3,194.26 bil","84,284,610","3,124.97 bil"
3/19/2019,1006.59,-5.27(-0.52%),"236,585,464","5,783.14 bil","20,459,820",943.21 bil,"19,067,648",752.98 bil
3/18/2019,1011.86,+7.74(+0.77%),"230,552,506","5,355.77 bil","19,558,420",752.09 bil,"22,334,020",831.36 bil
3/15/2019,1004.12,-4.32(-0.43%),"250,277,088","6,497.04 bil","28,962,874","1,377.79 bil","29,311,804","1,547.09 bil"
3/14/2019,1008.44,+3.03(+0.30%),"224,543,056","4,821.26 bil","20,933,240",868.27 bil,"22,465,205",902.37 bil
3/13/2019,1005.41,+4.09(+0.41%),"229,381,210","5,106.24 bil","20,735,755",730.40 bil,"15,129,575",602.24 bil
3/12/2019,1001.32,+16.72(+1.70%),"208,193,816","4,802.35 bil","15,791,651",692.59 bil,"15,608,391",663.92 bil
3/11/2019,984.6,-0.65(-0.07%),"178,656,512","3,716.19 bil","15,680,820",600.70 bil,"14,559,690",594.70 bil
3/8/2019,985.25,-8.78(-0.88%),"202,508,653","4,247.33 bil","14,227,041",531.91 bil,"10,597,941",520.82 bil
3/7/2019,994.03,-0.46(-0.05%),"210,694,974","4,686.27 bil","20,473,870",843.51 bil,"18,060,120",812.70 bil
3/6/2019,994.49,+2.04(+0.21%),"250,924,541","5,104.42 bil","18,017,301",706.00 bil,"14,388,315",632.74 bil
3/5/2019,992.45,-1.54(-0.15%),"297,444,471","5,933.37 bil","33,483,586","1,158.42 bil","28,162,806","1,065.30 bil"
3/4/2019,993.99,+14.36(+1.47%),"235,644,077","5,036.30 bil","16,408,650",641.46 bil,"17,833,010",778.92 bil
3/1/2019,979.63,+14.16(+1.47%),"170,041,464","4,055.86 bil","10,089,287",495.92 bil,"11,429,735",596.31 bil
2/28/2019,965.47,-24.80(-2.50%),"224,812,348","5,409.21 bil","16,000,580",759.82 bil,"25,684,430","1,108.16 bil"
2/27/2019,990.27,+3.21(+0.33%),"258,926,565","5,152.51 bil","24,829,084",764.64 bil,"20,005,704",711.51 bil
2/26/2019,987.06,-7.37(-0.74%),"251,652,413","5,176.62 bil","25,392,760",900.12 bil,"15,430,140",745.34 bil
2/25/2019,994.43,+5.52(+0.56%),"227,742,907","5,214.10 bil","25,781,180","1,076.65 bil","24,387,500",949.96 bil
2/22/2019,988.91,+1.34(+0.14%),"215,630,492","4,974.10 bil","17,156,390",690.49 bil,"14,598,476",629.42 bil
2/21/2019,987.57,+16.99(+1.75%),"178,583,705","4,463.10 bil","26,614,480","1,064.60 bil","20,133,490",806.28 bil
2/20/2019,970.58,+6.23(+0.65%),"170,875,213","4,002.97 bil","24,447,910","1,066.29 bil","18,803,080",816.75 bil
2/19/2019,964.35,+3.05(+0.32%),"231,962,870","5,403.56 bil","20,420,480",931.43 bil,"14,226,230",716.44 bil
2/18/2019,961.3,+10.41(+1.09%),"194,653,249","4,105.09 bil","19,270,420",709.75 bil,"16,514,050",721.75 bil
2/15/2019,950.89,-1.45(-0.15%),"160,688,831","3,838.12 bil","23,375,180",785.87 bil,"15,696,250",643.64 bil
2/14/2019,952.34,+7.09(+0.75%),"181,055,902","4,827.90 bil","33,648,963","2,025.11 bil","12,012,740",557.03 bil
2/13/2019,945.25,+7.71(+0.82%),"215,274,633","4,992.13 bil","27,428,770",993.68 bil,"19,208,600",756.18 bil
2/12/2019,937.54,+11.44(+1.24%),"188,420,444","4,198.65 bil","21,332,511",885.84 bil,"18,219,719",814.42 bil
2/11/2019,926.1,+17.43(+1.92%),"124,642,694","2,924.01 bil","21,305,955",779.26 bil,"19,288,875",768.55 bil
2/1/2019,908.67,-1.98(-0.22%),"140,799,414","3,890.71 bil","16,861,472",862.66 bil,"14,757,822",692.13 bil
1/31/2019,910.65,-5.19(-0.57%),"138,049,636","3,180.79 bil","20,085,340",686.41 bil,"17,789,730",805.32 bil
1/30/2019,915.84,-0.09(-0.01%),"139,395,507","3,401.44 bil","19,798,680",774.54 bil,"16,268,950",694.27 bil
1/29/2019,915.93,+3.75(+0.41%),"121,444,328","2,782.47 bil","18,582,050",666.36 bil,"12,926,210",504.55 bil
1/28/2019,912.18,+3.30(+0.36%),"133,321,405","3,059.26 bil","13,503,523",484.37 bil,"7,578,385",367.90 bil
1/25/2019,908.88,+0.09(+0.01%),"117,585,191","2,671.43 bil","12,633,820",463.99 bil,"8,888,680",496.19 bil
1/24/2019,908.79,+0.61(+0.07%),"110,294,392","2,677.78 bil","13,124,630",618.68 bil,"11,223,740",642.70 bil
1/23/2019,908.18,+1.63(+0.18%),"129,143,298","2,659.66 bil","13,951,887",537.43 bil,"9,772,727",514.29 bil
1/22/2019,906.55,-4.50(-0.49%),"152,163,629","2,693.21 bil","15,091,085",361.65 bil,"7,546,820",299.07 bil
1/21/2019,911.05,+8.75(+0.97%),"165,626,811","3,287.02 bil","6,385,130",312.70 bil,"7,568,630",342.82 bil
1/18/2019,902.3,+0.41(+0.05%),"140,748,451","3,880.47 bil","40,379,955","1,872.64 bil","40,963,870","1,896.22 bil"
1/17/2019,901.89,-6.81(-0.75%),"133,889,431","2,464.62 bil","9,364,800",377.69 bil,"8,705,870",351.76 bil
1/16/2019,908.7,-0.98(-0.11%),"164,291,064","3,774.56 bil","14,845,490",953.35 bil,"8,496,850",358.60 bil
